Date,TimeOfDay,AppCategory,DailyUsage,SessionUsage,,daily usage: cumulative of session usage
10/24/2025,13,social,110,18,,
10/24/2025,14,social,114,4,,
10/24/2025,15,social,122,8,,
10/24/2025,16,social,127,5,,
10/24/2025,17,social,155,28,,
10/24/2025,18,social,190,35,,
10/24/2025,19,social,221,31,,
10/24/2025,20,social,278,57,,
10/24/2025,21,social,333,9,,
10/24/2025,22,social,334,55,,
10/24/2025,23,social,335,1,,
10/24/2025,0,entertainment,0,0,,
10/24/2025,1,entertainment,0,0,,
10/24/2025,2,entertainment,0,0,,
10/24/2025,3,entertainment,0,0,,
10/24/2025,4,entertainment,0,0,,
10/24/2025,5,entertainment,22,22,,
10/24/2025,6,entertainment,22,0,,
10/24/2025,7,entertainment,22,0,,
10/24/2025,8,entertainment,22,0,,
10/24/2025,9,entertainment,22,0,,
10/24/2025,10,entertainment,22,0,,
10/24/2025,11,entertainment,31,9,,
10/24/2025,12,entertainment,31,0,,
10/24/2025,13,entertainment,36,5,,
10/24/2025,14,entertainment,47,11,,
10/24/2025,15,entertainment,66,19,,
10/24/2025,16,entertainment,70,4,,
10/24/2025,17,entertainment,88,18,,
10/24/2025,18,entertainment,99,11,,
10/24/2025,19,entertainment,99,0,,
10/24/2025,20,entertainment,99,0,,
10/24/2025,21,entertainment,133,34,,
10/24/2025,22,entertainment,138,5,,
10/24/2025,23,entertainment,197,59,,
10/24/2025,0,others,0,0,,
10/24/2025,1,others,1,1,,
10/24/2025,2,others,4,3,,
10/24/2025,3,others,4,0,,
10/24/2025,4,others,4,0,,
10/24/2025,5,others,4,0,,
10/24/2025,6,others,4,0,,
10/24/2025,7,others,4,0,,
10/24/2025,8,others,4,0,,
10/24/2025,9,others,4,0,,
10/24/2025,10,others,4,0,,
10/24/2025,11,others,4,0,,
10/24/2025,12,others,4,0,,
10/24/2025,13,others,4,0,,
10/24/2025,14,others,4,0,,
10/24/2025,15,others,4,0,,
10/24/2025,16,others,4,0,,
10/24/2025,17,others,4,0,,
10/24/2025,18,others,4,0,,
10/24/2025,19,others,4,0,,
10/24/2025,20,others,4,0,,
10/24/2025,21,others,4,0,,
10/24/2025,22,others,4,0,,
10/24/2025,23,others,4,0,,
10/25/2025,0,social,0,0,,
10/25/2025,1,social,0,0,,
10/25/2025,2,social,0,0,,
10/25/2025,3,social,0,0,,
10/25/2025,4,social,0,0,,
10/25/2025,5,social,0,0,,
10/25/2025,6,social,0,0,,
10/25/2025,7,social,0,0,,
10/25/2025,8,social,36,36,,
10/25/2025,9,social,40,4,,
10/25/2025,10,social,41,1,,
10/25/2025,11,social,41,0,,
10/25/2025,12,social,64,23,,
10/25/2025,13,social,104,40,,
10/25/2025,14,social,122,18,,
10/25/2025,15,social,123,1,,
10/25/2025,16,social,123,0,,
10/25/2025,17,social,126,3,,
10/25/2025,18,social,127,1,,
10/25/2025,19,social,128,1,,
10/25/2025,20,social,155,27,,
10/25/2025,21,social,155,0,,
10/25/2025,22,social,155,0,,
10/25/2025,23,social,155,0,,
10/25/2025,0,entertainment,0,0,,
10/25/2025,1,entertainment,0,0,,
10/25/2025,2,entertainment,0,0,,
10/25/2025,3,entertainment,0,0,,
10/25/2025,4,entertainment,0,0,,
10/25/2025,5,entertainment,0,0,,
10/25/2025,6,entertainment,0,0,,
10/25/2025,7,entertainment,0,0,,
10/25/2025,8,entertainment,24,24,,
10/25/2025,9,entertainment,36,12,,
10/25/2025,10,entertainment,71,35,,
10/25/2025,11,entertainment,78,7,,
10/25/2025,12,entertainment,98,20,,
10/25/2025,13,entertainment,109,11,,
10/25/2025,14,entertainment,144,35,,
10/25/2025,15,entertainment,173,29,,
10/25/2025,16,entertainment,186,13,,
10/25/2025,17,entertainment,187,1,,
10/25/2025,18,entertainment,187,0,,
10/25/2025,19,entertainment,200,13,,
10/25/2025,20,entertainment,233,33,,
10/25/2025,21,entertainment,233,0,,
10/25/2025,22,entertainment,237,4,,
10/25/2025,23,entertainment,247,10,,
10/25/2025,0,others,0,0,,
10/25/2025,1,others,0,0,,
10/25/2025,2,others,0,0,,
10/25/2025,3,others,0,0,,
10/25/2025,4,others,0,0,,
10/25/2025,5,others,0,0,,
10/25/2025,6,others,0,0,,
10/25/2025,7,others,0,0,,
10/25/2025,8,others,0,0,,
10/25/2025,9,others,0,0,,
10/25/2025,10,others,0,0,,
10/25/2025,11,others,0,0,,
10/25/2025,12,others,0,0,,
10/25/2025,13,others,0,0,,
10/25/2025,14,others,0,0,,
10/25/2025,15,others,0,0,,
10/25/2025,16,others,0,0,,
10/25/2025,17,others,0,0,,
10/25/2025,18,others,0,0,,
10/25/2025,19,others,0,0,,
10/25/2025,20,others,0,0,,
10/25/2025,21,others,0,0,,
10/25/2025,22,others,0,0,,
10/25/2025,23,others,1,1,,
10/26/2025,0,social,15,15,,
10/26/2025,1,social,27,12,,
10/26/2025,2,social,27,0,,
10/26/2025,3,social,27,0,,
10/26/2025,4,social,27,0,,
10/26/2025,5,social,27,0,,
10/26/2025,6,social,27,0,,
10/26/2025,7,social,27,0,,
10/26/2025,8,social,27,0,,
10/26/2025,9,social,27,0,,
10/26/2025,10,social,27,0,,
10/26/2025,11,social,33,6,,
10/26/2025,12,social,33,0,,
10/26/2025,13,social,33,0,,
10/26/2025,14,social,33,0,,
10/26/2025,15,social,39,6,,
10/26/2025,16,social,39,0,,
10/26/2025,17,social,39,0,,
10/26/2025,18,social,39,0,,
